Classifier,Cell_Type_1,Cell_Type_2,Correlation,P_value,Correlation_Variance,CV_Cell_Type_1,CV_Cell_Type_2,FDR_corrected_pvalue
Fast,MAIT/NKT-like cells,Transitional Monocytes,0.25,3.9419112418670466e-10,0.0,0.8509500015214381,0.3602018691989214,6.569852069778411e-10
Fast,MAIT/NKT-like cells,Transitional/activated B cells,0.12552411131335844,0.001994814356186758,3.112614051534927e-33,0.8509500015214381,1.0969764604362944,0.0026479836586549886
Fast,Memory B cells,NK cell,-0.37426696030475043,0.0,3.112614051534927e-33,4.936668335051579,0.5405390684327066,0.0
Fast,Memory B cells,Naive B cells,-0.3568591947091804,0.0,3.112614051534927e-33,4.936668335051579,0.38561806122690506,0.0
Fast,Memory B cells,Naive CD4+ T cells,0.16537377315791296,4.344344843598691e-05,3.112614051534927e-33,4.936668335051579,0.5118875243840818,6.090203051773865e-05
Fast,Memory B cells,Naive CD8+ T cells,0.34815531191139576,0.0,3.112614051534927e-33,4.936668335051579,0.7128846559749665,0.0
Fast,Memory B cells,Neutrophils,-0.33945142911361076,0.0,3.112614051534927e-33,4.936668335051579,0.0877853117203214,0.0
Fast,Memory B cells,Non-Classical Monocytes,0.42649025709145955,0.0,2.801352646381434e-32,4.936668335051579,0.4851705394233283,0.0
Fast,Memory B cells,Plasmablast B cells,-0.2437087183379769,1.1136553901280877e-09,0.0,4.936668335051579,1.2120869810854338,1.8458376631957253e-09
Fast,Memory B cells,Plasmacytoid Dendritic cells,0.6527912098338671,0.0,1.2450456206139707e-32,4.936668335051579,0.44866367643496735,0.0
